プロパティ,タグ名称,型,表示順,TagID
GPSDestLatitudeRef,目的地の北緯(N)or南緯(S),string,,0x0013
GPSDestLatitude,目的地の緯度(数値),string,,0x0014
GPSDestLongitudeRef,目的地の東経(E)or西経(W),string,,0x0015
GPSDestLongitude,目的地の経度(数値),string,,0x0016
GPSDestBearingRef,目的地の方角の単位,string,,0x0017
GPSDestBearing,目的の方角(数値),string,,0x0018
GPSDestDistanceRef,目的地までの距離の単位,string,,0x0019
GPSDestDistance,目的地までの距離(数値),string,,0x001A
GPSProcessingMethod,測位方式の名称,string,,0x001B
GPSAreaInformation,測位地点の名称,string,,0x001C
GPSDateStamp,GPS日付,string,,0x001D
GPSDifferential,GPS補正測位,string,,0x001E
GPSHPositioningError,水平方向測位誤差,string,,0x001F
WidthHeight,幅ｘ高(Pixel),string,2,G-WidthHeight
ShutterSpeed,シャッター速度,string,9,G-ShutterSpeed
Resolution,幅ｘ高さの解像度,string,19,G-Resolution
GPSLocation,GPS緯度経度,string,20,G-GPSLocation
GPSHeight,GPS高度,string,,G-GPSHeight
